# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.198649708989568685e+00 1.198649708989568685e+00
1.500000000000000000e+01 5.189433104222760385e-01 5.189433104222760385e-01
1.500000000000000000e+01 5.189433104222760385e-01 5.189433104222760385e-01
1.000000000000000000e+03 1.596771427763384391e-02 1.596771427763384391e-02
2.000000000000000000e+03 2.520836216003654890e-03 2.520836216003654890e-03
3.000000000000000000e+03 9.716314467176966150e-04 9.716314467176966150e-04
4.000000000000000000e+03 4.317900124375254945e-04 4.317900124375254945e-04
5.000000000000000000e+03 2.734704194335622050e-04 2.734704194335622050e-04
6.000000000000000000e+03 1.569526930842579790e-04 1.569526930842579790e-04
7.000000000000000000e+03 1.136850405827873002e-04 1.136850405827873002e-04
8.000000000000000000e+03 8.097510282461053716e-05 8.097510282461053716e-05
9.000000000000000000e+03 6.581377576475113159e-05 6.581377576475113159e-05
1.000000000000000000e+04 5.536596876703360996e-05 5.536596876703360996e-05
1.100000000000000000e+04 4.522809759207012799e-05 4.522809759207012799e-05
1.200000000000000000e+04 3.800645958667598224e-05 3.800645958667598224e-05
1.300000000000000000e+04 3.269795587066327716e-05 3.269795587066327716e-05
1.400000000000000000e+04 2.868333616707848766e-05 2.868333616707848766e-05
1.500000000000000000e+04 2.442648617088667012e-05 2.442648617088667012e-05
1.600000000000000000e+04 2.062696323720297406e-05 2.062696323720297406e-05
1.683400000000000000e+04 1.809065269768824318e-05 1.809065269768824318e-05
